state,year,district_name,localid,NCES_leaid,count_teachers,count_not_evaluated,count_suppressed,count_level1,count_level2,count_level3,count_level4,percent_suppressed,percent_level1,percent_level2,percent_level3,percent_level4,impute_level1,impute_level2,impute_level3,impute_level4
NJ,2015,union county educational services commission,395245,3416400,83,0,0,0,2,59,22,0,0,0.024096385542168676,0.7108433734939759,0.26506024096385544,FALSE,TRUE,FALSE,FALSE
NJ,2015,union county vocational-technical school district,395260,3418040,116,0,0,0,1,69,46,0,0,0.008620689655172414,0.5948275862068966,0.39655172413793105,FALSE,TRUE,FALSE,FALSE
NJ,2015,township of union public schools,395290,3416500,623,0,0,0,5,525,93,0,0,0.008025682182985553,0.8426966292134831,0.1492776886035313,FALSE,TRUE,FALSE,FALSE
NJ,2015,westfield public schools,395730,3417760,481,0,0,0,2,400,79,0,0,0.004158004158004158,0.8316008316008316,0.16424116424116425,FALSE,TRUE,FALSE,FALSE
NJ,2015,winfield township,395810,3418030,18,0,3,0,0,15,0,0.16666666666666666,0,0,0.8333333333333334,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,allamuchy township school district,410030,3400720,34,0,0,0,0,11,23,0,0,0,0.3235294117647059,0.6764705882352942,FALSE,TRUE,FALSE,FALSE
NJ,2015,alpha borough school district,410070,3400840,25,0,5,0,0,20,0,0.2,0,0,0.8,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,belvidere school district,410280,3401440,65,0,0,0,0,35,30,0,0,0,0.5384615384615384,0.46153846153846156,FALSE,TRUE,FALSE,FALSE
NJ,2015,blairstown elementary township school district,410400,3401800,48,0,0,0,0,33,15,0,0,0,0.6875,0.3125,FALSE,TRUE,FALSE,FALSE
NJ,2015,franklin township school district,411620,3405520,25,0,6,0,0,19,0,0.24,0,0,0.76,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,frelinghuysen township school district,411670,3405670,15,0,3,0,0,12,0,0.2,0,0,0.8,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,great meadows regional school district,411785,3400008,73,0,0,0,0,46,27,0,0,0,0.6301369863013698,0.3698630136986301,FALSE,TRUE,FALSE,FALSE
NJ,2015,greenwich township school district,411840,3406210,62,0,8,0,0,54,0,0.12903225806451613,0,0,0.8709677419354839,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,hackettstown public school district,411870,3406300,136,0,0,0,0,47,89,0,0,0,0.34558823529411764,0.6544117647058824,FALSE,TRUE,FALSE,FALSE
NJ,2015,harmony township school district,412040,3406810,26,0,5,0,0,0,21,0.19230769230769232,0,0,0,0.8076923076923077,FALSE,FALSE,FALSE,FALSE
NJ,2015,hope township school district,412250,3407470,21,0,2,0,0,19,0,0.09523809523809523,0,0,0.9047619047619048,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,knowlton township school district,412470,3408070,29,0,0,0,0,11,18,0,0,0,0.3793103448275862,0.6206896551724138,FALSE,TRUE,FALSE,FALSE
NJ,2015,lopatcong township school district,412790,3409000,68,0,9,0,0,59,0,0.1323529411764706,0,0,0.8676470588235294,0,FALSE,FALSE,FALSE,FALSE
NJ,2015,mansfield township elementary school district,412970,3409540,57,0,0,0,0,32,25,0,0,0,0.5614035087719298,0.43859649122807015,FALSE,TRUE,FALSE,FALSE
NJ,2015,north warren regional school district,413675,3409550,83,0,0,0,0,53,30,0,0,0,0.6385542168674698,0.3614457831325301,FALSE,TRUE,FALSE,FALSE
